WTime,TOC,T-N,T-P
2019-03-31,3.7,2.307,0.018
2019-04-02,4,2.271,0.023
2019-04-03,3.9,2.268,0.023
2019-04-07,3.6,2.41,0.023
2019-04-09,3.8,2.214,0.023
2019-04-10,3.5,2.061,0.023
2019-04-12,3.8,1.913,
2019-04-14,3.7,2.302,
2019-04-16,3.6,2.32,
2019-04-17,,2.449,
2019-04-19,3.6,2.268,0.018
2019-04-21,4.2,2.222,0.019
2019-04-23,3.8,2.036,0.018
2019-04-26,4,1.721,0.022
2019-04-30,3.8,1.824,0.03
2019-05-01,3.8,1.818,0.029
2019-05-03,3.7,1.86,0.034
2019-05-04,3.8,1.937,0.033
2019-05-06,3.7,1.868,0.033
2019-05-07,3.8,1.901,0.031
2019-05-10,4.3,1.872,0.022
2019-05-11,4.4,1.954,0.02
2019-05-13,4.5,1.903,0.021
2019-05-14,4.5,1.708,0.017
2019-05-17,4.9,,0.021
2019-05-19,5.4,,0.019
2019-05-20,5,,0.02
2019-05-21,5.1,1.915,0.024
2019-05-24,5.3,1.778,0.026
2019-05-26,5.1,1.808,0.028
2019-06-01,5.7,2.115,0.027
2019-06-03,5.8,2.139,0.033
2019-06-08,5.2,2.241,0.04
2019-06-11,5.4,1.992,0.032
2019-06-12,5.5,2.12,0.035
2019-06-14,5.7,2.27,0.039
2019-06-15,5.7,2.349,0.042
2019-06-16,6,2.199,0.044
2019-06-18,,,
2019-06-19,,,
2019-06-23,6.1,1.335,0.039
2019-06-25,6,1.168,0.038
2019-06-30,5.9,1.531,0.07
2019-07-04,5.7,1.556,0.045
2019-07-05,5.6,1.529,0.053
2019-07-07,5.5,1.696,0.055
2019-07-09,,,
2019-07-11,6.3,1.728,0.052
2019-07-12,5.8,1.417,0.056
2019-07-15,5.9,2.309,0.087
2019-07-18,5.2,2.574,0.078
2019-07-20,5.3,2.2,0.109
2019-07-21,4.9,2.269,0.153
2019-07-23,4.9,1.937,0.043
2019-07-25,4.7,2.01,0.05
2019-07-27,,,
2019-07-29,,,
2019-07-30,,,
2019-08-02,5.3,2.476,0.054
2019-08-04,5.4,1.82,0.051
2019-08-05,5.8,1.495,0.049
2019-08-07,5.6,,0.04
2019-08-08,5.7,,0.037
2019-08-11,5.4,0.822,
2019-08-12,5.4,,
2019-08-14,5.3,0.766,
2019-08-15,5.4,0.924,0.061
2019-08-18,5.1,,0.039
2019-08-19,5,,0.044
